user_id,email,first_name,last_name,npi,role,is_active,is_verified,user_created_at,last_login,license_id,state,license_number,license_type,issue_date,expiration_date,license_status,renewal_cycle_months,license_created_at,license_updated_at,license_metadata
555e92b0-7a69-4cb7-829c-3b48968983cc,admin@blueshift.com,BlueShift,Administrator,,admin,True,True,2024-03-10T03:37:10.037751,2025-11-18T03:37:10.037773,,,,,,,,,,,
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,True,True,2024-12-07T03:58:02.223853,2025-11-03T03:58:02.223855,6f21461e-cbd6-4dce-906a-72409e4b9fbc,AK,AK541357,MD,2023-10-11,2024-10-05,active,12,2025-02-07T03:58:02.226412,2025-11-19T03:58:02.226413,
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,True,True,2024-12-07T03:58:02.223853,2025-11-03T03:58:02.223855,e4f000a1-5123-4bc8-88d1-f383f3163f96,MD,MD636118,MD,2021-08-17,2022-08-12,active,12,2025-08-20T03:58:02.226389,2025-11-19T03:58:02.226390,
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,True,True,2024-12-07T03:58:02.223853,2025-11-03T03:58:02.223855,46c2f2ef-c4fd-4991-8f64-9bb4190c479d,MI,MI894220,MD,2023-11-21,2026-01-20,active,36,2025-06-15T03:58:02.226313,2025-11-19T03:58:02.226314,
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,True,True,2024-12-07T03:58:02.223853,2025-11-03T03:58:02.223855,7329191d-2755-4865-9b46-982e93a362b1,SC,SC103339,MD,2019-09-03,2020-08-28,active,12,2024-12-29T03:58:02.226358,2025-11-19T03:58:02.226359,
2e6a2704-7ddf-4ece-a6de-ef9440df1ed2,provider.md14@example.com,Nicholas,Arnold,<memory at 0x7276a17f3580>,provider,True,True,2024-06-11T03:37:14.953124,2025-11-12T03:37:14.953134,4bbffdc8-d8e4-432a-81c5-cfa984a73ae5,DE,DE60935,MD,2021-12-04,2027-11-03,active,24,2021-12-04T03:37:17.230508,2025-10-30T03:37:17.230509,"{""board"": ""DE State Medical Board"", ""verified"": true, ""dea_number"": null, ""restrictions"": null, ""controlled_substance_license"": null}"
2e6a2704-7ddf-4ece-a6de-ef9440df1ed2,provider.md14@example.com,Nicholas,Arnold,<memory at 0x7276a17f3940>,provider,True,True,2024-06-11T03:37:14.953124,2025-11-12T03:37:14.953134,27aeae88-86bf-43a2-bec4-81731b09ade2,IN,M792133,MD,2020-10-19,2026-09-18,active,24,2020-10-19T03:37:17.229263,2025-10-23T03:37:17.229264,"{""board"": ""IN State Medical Board"", ""verified"": true, ""dea_number"": ""BA4368387"", ""restrictions"": null, ""controlled_substance_license"": ""IN-CS-413815""}"
2e6a2704-7ddf-4ece-a6de-ef9440df1ed2,provider.md14@example.com,Nicholas,Arnold,<memory at 0x7276a17f3a00>,provider,True,True,2024-06-11T03:37:14.953124,2025-11-12T03:37:14.953134,fd6e1214-683e-4965-94a8-575bf77abf28,KS,KS77006,MD,2024-02-03,2026-01-23,active,24,2024-02-03T03:37:17.231107,2025-10-30T03:37:17.231108,"{""board"": ""KS State Medical Board"", ""verified"": true, ""dea_number"": null, ""restrictions"": null, ""controlled_substance_license"": null}"
2e6a2704-7ddf-4ece-a6de-ef9440df1ed2,provider.md14@example.com,Nicholas,Arnold,<memory at 0x7276a17f3ac0>,provider,True,True,2024-06-11T03:37:14.953124,2025-11-12T03:37:14.953134,30f9d005-95b7-4ebc-8b33-51c76db355e6,MO,828511,MD,2020-09-26,2026-08-26,active,24,2020-09-26T03:37:17.229890,2025-10-21T03:37:17.229891,"{""board"": ""MO State Medical Board"", ""verified"": true, ""dea_number"": ""BA8283341"", ""restrictions"": null, ""controlled_substance_license"": ""MO-CS-284301""}"
2e6a2704-7ddf-4ece-a6de-ef9440df1ed2,provider.md14@example.com,Nicholas,Arnold,<memory at 0x7276a17f3b80>,provider,True,True,2024-06-11T03:37:14.953124,2025-11-12T03:37:14.953134,10ae9b2e-a372-46b3-a989-40d4fd8f0682,NE,NE-86928,MD,2021-03-01,2027-01-29,active,24,2021-03-01T03:37:17.232869,2025-10-24T03:37:17.232871,"{""board"": ""NE State Medical Board"", ""verified"": true, ""dea_number"": ""AA3758450"", ""restrictions"": null, ""controlled_substance_license"": ""NE-CS-562656""}"
