user_id,email,first_name,last_name,npi,role,is_active,is_verified,user_created_at,last_login,license_count,cme_count,document_count,license_states,total_cme_credits
555e92b0-7a69-4cb7-829c-3b48968983cc,admin@blueshift.com,BlueShift,Administrator,,admin,True,True,2024-03-10T03:37:10.037751,2025-11-18T03:37:10.037773,0,0,0,,0.0
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,True,True,2024-12-07T03:58:02.223853,2025-11-03T03:58:02.223855,4,20,0,"AK, MD, MI, SC",198.0000000000001
2e6a2704-7ddf-4ece-a6de-ef9440df1ed2,provider.md14@example.com,Nicholas,Arnold,<memory at 0x704630fe34c0>,provider,True,True,2024-06-11T03:37:14.953124,2025-11-12T03:37:14.953134,7,6,13,"DE, IN, KS, MO, NE, OR, WY",1456.0
66d8c077-731d-4adc-8400-34eb141de0af,provider.md12@example.com,Lindsay,Blair,<memory at 0x704630fe3580>,provider,True,True,2023-03-13T03:37:14.562867,2025-11-19T03:49:44.568933,1,6,2,SC,26.0
6f037392-09a1-4fc9-b00f-410425cb99fe,provider.multistate10@example.com,Daniel,Brown,,provider,True,True,2024-06-15T03:58:02.237211,2025-10-22T03:58:02.237213,6,12,0,"FL, ID, IL, OH, VA, WI",182.40000000000003
2326cec7-7c1e-424f-bf3e-aefb195a7cca,provider.multistate2@example.com,David,Chen,,provider,True,True,2024-10-25T03:58:02.197313,2025-10-28T03:58:02.197315,5,12,0,"HI, MT, NM, UT, WY",149.50000000000003
ae0ea300-d1d6-48a1-a5d8-00c8f2d4d17f,provider.multistate20@example.com,Brandon,Clark,,provider,True,True,2024-02-29T03:58:02.285412,2025-11-08T03:58:02.285414,4,12,0,"GA, MO, VA, WI",115.20000000000003
d6b6bc0c-159f-45d4-969d-2d415aa43822,provider.do5@example.com,Mitchell,Clark,<memory at 0x704630fe3880>,provider,True,True,2024-09-14T03:37:16.507413,2025-10-23T03:37:16.507453,1,6,3,AK,69.0
72316753-a4be-4516-b3ec-b88ed0d57347,provider.do8@example.com,George,Daniel,<memory at 0x704630fe3940>,provider,True,True,2024-10-23T03:37:17.091387,2025-11-13T03:37:17.091397,1,5,3,SD,45.0
10c49ff8-0789-477c-86d4-bb00b95ab234,provider.multistate11@example.com,Amanda,Davis,,provider,True,True,2025-05-20T03:58:02.241753,2025-11-16T03:58:02.241755,6,29,0,"AZ, IN, MI, MO, NC, VA",358.7999999999999
f694a288-0c84-4a49-a915-6187c78e8a14,provider.md10@example.com,Christopher,Davis,<memory at 0x704630fe3a00>,provider,True,True,2024-12-12T03:37:14.189068,2025-11-15T03:37:14.189078,1,10,3,ID,69.0
8763c842-5104-4c6b-aad3-1bcb7004317a,provider.do4@example.com,Cynthia,Diaz,<memory at 0x704630fe3ac0>,provider,True,True,2024-03-29T03:37:16.311326,2025-11-05T03:37:16.311338,1,2,3,WV,24.0
e61234f3-509c-4d22-a5e6-cb75985f8c1b,provider.md13@example.com,Amanda,Dudley,<memory at 0x704630fe3b80>,provider,True,True,2023-05-19T03:37:14.755925,2025-10-30T03:37:14.755937,1,9,3,RI,84.0
145a7c8f-65f6-4b05-9a18-235932b8f211,provider.multistate12@example.com,Christopher,Garcia,,provider,True,True,2025-01-23T03:58:02.246093,2025-11-10T03:58:02.246094,4,15,0,"AZ, NJ, PA, VA",100.79999999999997
3266d4b9-1e60-46e8-ae6c-3b5f34098bda,provider.md4@example.com,Debra,Gardner,<memory at 0x704630fe3c40>,provider,True,True,2024-09-28T03:37:11.979518,2025-11-08T03:37:11.979558,2,12,3,"MD, MS",216.0
9a70ee47-4267-478f-a57c-16b5f595a709,provider.md3@example.com,Anthony,Gonzalez,<memory at 0x704630fe3d00>,provider,True,True,2023-08-11T03:37:11.782519,2025-10-23T03:37:11.782530,1,5,3,HI,69.0
674bff81-ae9e-4fa0-9694-a0ccbeed571c,provider.do2@example.com,Christopher,Hall,<memory at 0x704630fe3dc0>,provider,True,True,2023-06-07T03:37:15.928693,2025-11-03T03:37:15.928704,1,11,2,IL,84.0
85a2246b-c66b-4d60-9b60-3bef2fd0a1cf,provider.multistate17@example.com,Lauren,Harris,,provider,True,True,2023-12-31T03:58:02.270438,2025-10-29T03:58:02.270441,6,25,0,"AZ, CA, IL, IN, TN, TX",311.3999999999998
8bcf8670-2b70-4178-9ef5-4929e4c0b96a,provider.multistate15@example.com,Ashley,Jackson,,provider,True,True,2025-01-24T03:58:02.260707,2025-10-20T03:58:02.260709,5,12,0,"IN, MO, TN, VA, WA",130.99999999999997
1075e199-d4a7-4e84-9179-8d969996c198,delegate1@credentialmate.com,Danielle,Johnson,,delegate,True,True,2025-05-29T03:37:10.626029,2025-11-11T03:37:10.626042,0,0,0,,0.0
3b131fce-d6ca-4e19-a2b7-19fa1aca9baa,provider.md1@example.com,Robert,Johnson,<memory at 0x704630fe3e80>,provider,True,True,2024-12-28T03:37:11.403138,2025-11-05T03:37:11.403150,1,11,2,GA,62.0
7adfd06b-ef6b-496a-82d7-6e60caa793fc,provider.md5@example.com,Jeffrey,Lawrence,<memory at 0x704630fe3f40>,provider,True,True,2024-01-27T03:37:12.175910,2025-11-09T03:37:12.175921,5,9,8,"MN, MO, NC, TN, TX",1440.0
4a56b754-ba1d-4887-98ff-ed901688310c,provider.multistate5@example.com,Jennifer,Lee,,provider,True,True,2023-12-07T03:58:02.215115,2025-11-02T03:58:02.215117,7,15,0,"AR, AZ, CO, MA, ME, MS, PA",237.30000000000018
4f22db35-deae-4403-88ed-b517c8d063d2,provider.do7@example.com,Deborah,Lynch,<memory at 0x7046308b0040>,provider,True,True,2024-09-18T03:37:16.896101,2025-11-17T03:37:16.896112,1,4,1,ME,12.0
